Issue Type,Issue key,Issue id,Created,Summary,Assignee,Reporter,Priority,Status,Resolution,Updated,Due Date,Security Level,Component/s
Task,BESU-135,43493,29/Nov/19 9:09 AM,Add Web3j Example to Besu docs,,bgravenorst,Medium,Done,Done,17/Mar/20 7:36 PM,,,besu-docs
Bug,BESU-132,43452,26/Nov/19 6:18 PM,Private transaction failing due to insufficient intrinsic gas,lucassaldanha,madelinemurray,Medium,Done,Done,17/Mar/20 7:35 PM,,,besu-privacy
Task,BESU-113,43345,15/Nov/19 2:39 PM,Doc privacy on networks with non-final consensus protocols ,,madelinemurray,Medium,Done,Done,17/Mar/20 7:32 PM,,,besu-docs
Task,BESU-9,43088,04/Nov/19 10:29 AM,Doc Stratum implementation ,,madelinemurray,Medium,Done,Done,17/Mar/20 7:31 PM,,,besu-docs
Task,BESU-121,43375,19/Nov/19 4:47 PM,Doc private txn receipt updates,,madelinemurray,Medium,Done,Done,17/Mar/20 7:31 PM,,,besu-docs
Epic,BESU-14,43113,06/Nov/19 12:44 AM,Pruning,,timbeiko,Medium,Done,Done,17/Mar/20 7:29 PM,,,
Epic,BESU-16,43117,06/Nov/19 12:56 AM,[Meta] Peer Management,,timbeiko,Medium,Done,Done,17/Mar/20 7:29 PM,,,
Epic,BESU-15,43114,06/Nov/19 12:46 AM,1.4 Performance,,timbeiko,Medium,Done,Done,17/Mar/20 7:29 PM,,,
Improvement,BESU-12,43091,04/Nov/19 10:38 AM,Add eea web3j support to privacy doc,,madelinemurray,Medium,Done,Done,17/Mar/20 7:14 PM,,,besu-docs
Improvement,BESU-8,43087,04/Nov/19 9:38 AM,Add diagram showing private state stored per privacy group ,,madelinemurray,Medium,Done,Done,17/Mar/20 7:14 PM,,,besu-docs
Improvement,BESU-7,43086,04/Nov/19 9:32 AM,Review permissioning content flow ,,madelinemurray,Medium,Done,Done,17/Mar/20 7:14 PM,,,besu-docs
Improvement,BESU-6,43085,04/Nov/19 9:17 AM,Clarify return values for JSON-RPC methods miner_start and miner_stop,,madelinemurray,Medium,Done,Done,17/Mar/20 7:13 PM,,,besu-docs
Task,BESU-5,43084,04/Nov/19 9:02 AM,Explain what network ID and chain ID are,,madelinemurray,Medium,Done,Done,17/Mar/20 6:57 PM,,,besu-docs
New Feature,BESU-4,43083,04/Nov/19 8:50 AM,Doc using privacy on mainnet,,madelinemurray,Medium,Done,Done,17/Mar/20 6:53 PM,,,besu-docs
New Feature,BESU-3,43082,04/Nov/19 8:48 AM,Update doc for priv_getTransactionReceipt,,madelinemurray,Medium,Done,Done,17/Mar/20 6:53 PM,,,besu-docs
New Feature,BESU-2,43081,04/Nov/19 8:46 AM,Default sync mode changed to fast,,madelinemurray,Medium,Done,Done,17/Mar/20 6:52 PM,,,besu-docs
Task,BESU-193,44238,04/Feb/20 4:26 AM,Make Fast Sync & Pruning Defaults on Named Networks,,timbeiko,Medium,Done,Done,17/Mar/20 6:05 AM,,,
Bug,BESU-174,43863,09/Jan/20 1:02 AM,"Issue with getBlockByNumber(""pending"")",,timbeiko,Medium,Done,Done,17/Mar/20 6:03 AM,,,
Improvement,BESU-70,43178,06/Nov/19 11:05 PM,Leverage `couldMatch` in blockchain log listener,,timbeiko,Medium,Done,Done,17/Mar/20 6:02 AM,,,
Task,BESU-68,43176,06/Nov/19 11:04 PM,Create non-fork block event listener and flesh out fork block events,,timbeiko,Medium,Done,Done,17/Mar/20 6:01 AM,,,
Task,BESU-67,43175,06/Nov/19 11:04 PM,Improve debug-level Logging ,,timbeiko,Medium,Done,Done,17/Mar/20 6:00 AM,,,
Task,BESU-66,43174,06/Nov/19 11:03 PM,Eventually remove support for database dir metadata file after allowing migrations to happen,,timbeiko,Medium,Done,Done,17/Mar/20 5:59 AM,,,
Task,BESU-63,43171,06/Nov/19 10:56 PM,Evaluate Blockchain Fork Tracking,,timbeiko,Medium,Done,Done,17/Mar/20 5:59 AM,,,
Task,BESU-61,43169,06/Nov/19 10:54 PM,eth_estimateGas values are too low when calling other contracts,,timbeiko,Medium,Done,Done,17/Mar/20 5:57 AM,,,
Improvement,BESU-55,43163,06/Nov/19 10:49 PM,Remove `removed` field from LogWithMetadata,,timbeiko,Medium,Done,Done,17/Mar/20 5:56 AM,,,
New Feature,BESU-39,43147,06/Nov/19 10:37 PM,Implement eth_submitHashrate JSON RPC API,,timbeiko,Medium,Done,Done,17/Mar/20 5:44 AM,,,
Task,BESU-36,43144,06/Nov/19 10:33 PM,"[Spike] Reconsider SynchornizerConfig, EthNetworkConfig, and other config objects",,timbeiko,Medium,Done,Done,17/Mar/20 5:41 AM,,,
Task,BESU-35,43143,06/Nov/19 10:33 PM,[SPIKE] Investigate Periodically Committing State ,,timbeiko,Medium,Done,Done,17/Mar/20 5:41 AM,,,
Task,BESU-31,43132,06/Nov/19 1:18 AM,Don't persist TransactionReceipt.bloomFilter in local DB,,timbeiko,Medium,Done,Done,17/Mar/20 5:38 AM,,,
Task,BESU-194,44241,04/Feb/20 4:29 AM,Move Fast Sync fallback to Full Sync to a CLI flag,,timbeiko,Medium,Done,Done,17/Mar/20 5:36 AM,,,
