Issue Type,Issue key,Issue id,Created,Summary,Assignee,Reporter,Priority,Status,Resolution,Updated,Due Date,Security Level,Component/s
Epic,BESU-84,43225,08/Nov/19 3:02 PM,Fork on an IBFT2.0 network,,arash009,Medium,Done,Done,23/Mar/20 1:19 PM,,,
Improvement,BESU-105,43286,12/Nov/19 3:28 PM,Modify Besu to accept TLS connections on graphql interface,,arash009,Medium,Done,Done,23/Mar/20 8:09 AM,,,
Improvement,BESU-104,43285,12/Nov/19 3:23 PM,Modify Besu to accept TLS connections on ws JSON RPC interface,,arash009,Medium,Done,Done,23/Mar/20 8:08 AM,,,
Task,BESU-93,43255,11/Nov/19 1:51 PM,Suggestion to add reference to configuring free gas network,,madelinemurray,Medium,Done,Done,23/Mar/20 6:21 AM,,,besu-docs
Bug,BESU-188,44198,31/Jan/20 12:05 PM,Misleading error message when Besu cannot create parent directories ,,madelinemurray,Medium,Done,Done,23/Mar/20 6:21 AM,,,
Task,BESU-186,44151,28/Jan/20 12:40 PM,Doc priv_getCode,,madelinemurray,Medium,Done,Done,23/Mar/20 6:16 AM,,,besu-docs
Task,BESU-123,43388,20/Nov/19 2:32 PM,Doc NAT options ,,madelinemurray,Medium,Done,Done,23/Mar/20 6:16 AM,,,besu-docs
Bug,BESU-150,43601,05/Dec/19 6:54 PM,Error in Truffle's Petshop Privacy tutorial: Truffle wallet won't install,faraggi,faraggi,Medium,Done,Done,23/Mar/20 6:15 AM,,,besu-docs
Task,BESU-34,43139,06/Nov/19 11:42 AM,Doc --identity CLI option ,,madelinemurray,Medium,Done,Done,23/Mar/20 6:02 AM,,,besu-docs
Task,BESU-94,43256,11/Nov/19 1:53 PM,Have higher gas limit in examples and remove coinbase param,,madelinemurray,Medium,Done,Done,23/Mar/20 6:02 AM,,,besu-docs
New Feature,BESU-162,43745,17/Dec/19 6:46 PM,Implement admin_reloadPlugin JSON RPC endpoint,abdelhamidbakhta,abdelhamidbakhta,Medium,Done,Done,23/Mar/20 3:23 AM,,,
Task,BESU-96,43258,11/Nov/19 1:56 PM,"Mention ""pantheon public-key export-address"" in IBFT doc",,madelinemurray,Medium,Done,Done,22/Mar/20 2:31 PM,,,besu-docs
Task,BESU-99,43261,11/Nov/19 2:06 PM,Remove all unwanted characters from code blocks as we have the copy button now,,madelinemurray,Medium,Done,Done,22/Mar/20 2:30 PM,,,besu-docs
Task,BESU-98,43260,11/Nov/19 2:00 PM,Doc: have different chain id for clique and IBFT tutorials,,madelinemurray,Medium,Done,Done,22/Mar/20 2:14 PM,,,besu-docs
Task,BESU-97,43259,11/Nov/19 1:59 PM,Clique tutorial extraData value and how to use it is not clear,,madelinemurray,Medium,Done,Done,22/Mar/20 2:13 PM,,,besu-docs
Task,BESU-95,43257,11/Nov/19 1:54 PM,Remove reference to Truffle for gas limit on freeGas doc,,madelinemurray,Medium,Done,Done,22/Mar/20 2:12 PM,,,besu-docs
Task,BESU-92,43254,11/Nov/19 1:17 PM,Doc privacy not support with pruning or fast-sync,,madelinemurray,Medium,Done,Done,22/Mar/20 2:09 PM,,,besu-docs
New Feature,BESU-90,43252,11/Nov/19 12:54 PM,Clarify data field for eth_sendRawTransaction after priv_sendRawTransaction,madelinemurray,madelinemurray,Medium,Done,Done,22/Mar/20 2:09 PM,,,besu-docs
New Feature,BESU-89,43251,11/Nov/19 12:52 PM,Add a Why Besu page to the docs ,,madelinemurray,Medium,Done,Done,22/Mar/20 2:04 PM,,,besu-docs
New Feature,BESU-88,43250,11/Nov/19 12:49 PM,"Add info on creating signed, EEA-compliant signed transaction",NicolasMassart,madelinemurray,Medium,Done,Done,22/Mar/20 2:03 PM,,,besu-docs
Improvement,BESU-85,43234,08/Nov/19 11:31 PM,Indicate that it is the node public key displayed in the log,AnilSingh,timbeiko,Medium,Done,Done,22/Mar/20 1:50 PM,,,
Task,BESU-112,43344,15/Nov/19 2:32 PM,Run mainnet privacy on Ropsten,lucassaldanha,madelinemurray,Medium,Done,Done,22/Mar/20 1:41 PM,,,besu-privacy
Task,BESU-117,43360,18/Nov/19 5:40 AM,Doc `--network=classic` and `--network=kotti` options ,,madelinemurray,Medium,Done,Done,22/Mar/20 1:41 PM,,,besu-docs
Improvement,BESU-115,43352,16/Nov/19 7:25 AM,Add an 'Account Address' section to 'Node Keys' concepts,MohamedAbdulaziz,MohamedAbdulaziz,Medium,Done,Done,22/Mar/20 1:38 PM,,,besu-docs
Task,BESU-140,43520,03/Dec/19 1:15 PM,Migration to new private state storage ,iikirilov,madelinemurray,Medium,Done,Done,22/Mar/20 1:35 PM,,,besu-privacy
Task,BESU-144,43524,03/Dec/19 1:50 PM,Initial Privacy management contracts for on-chain privacy,iikirilov,madelinemurray,Medium,Done,Done,22/Mar/20 1:35 PM,,,besu-privacy
Task,BESU-100,43262,11/Nov/19 3:54 PM,Make web3.js and web3j samples easier to find,,madelinemurray,Medium,Done,Done,22/Mar/20 1:34 PM,,,besu-docs
Improvement,BESU-152,43624,06/Dec/19 8:04 PM,Change Pantheon to Besu in figure,,MohamedAbdulaziz,Medium,Done,Done,22/Mar/20 1:27 PM,,,besu-docs
New Feature,BESU-83,43224,08/Nov/19 10:22 AM,Add priv_getCode,madelinemurray,madelinemurray,Medium,Done,Done,22/Mar/20 11:45 AM,,,besu-privacy
Task,BESU-153,43661,10/Dec/19 7:51 PM,Test full sync option for migrating of private state storage ,madelinemurray,madelinemurray,Medium,Done,Done,22/Mar/20 11:43 AM,,,besu-privacy
Task,BESU-161,43744,17/Dec/19 6:05 PM,Investigate options for offchain/onchain privacy groups in 1.4 ,madelinemurray,madelinemurray,Medium,Done,Done,22/Mar/20 11:43 AM,,,besu-privacy
Task,BESU-166,43763,18/Dec/19 5:47 PM,Doc that processing of private txns stops if enclave is down ,madelinemurray,madelinemurray,Medium,Done,Done,22/Mar/20 11:40 AM,,,besu-docs
Task,BESU-164,43761,18/Dec/19 5:41 PM,Doc how to create index for log queries ,,madelinemurray,Medium,Done,Done,22/Mar/20 11:40 AM,,,besu-docs
Task,BESU-173,43829,07/Jan/20 6:11 PM,Write migration ,madelinemurray,madelinemurray,Medium,Done,Done,22/Mar/20 11:34 AM,,,besu-privacy
Bug,BESU-124,43396,21/Nov/19 12:33 AM,"Print the ""address"" of the node on startup",,shemnon,Medium,Done,Done,22/Mar/20 11:32 AM,,,
Improvement,BESU-187,44183,30/Jan/20 6:42 PM,Make database corruption issue more explicit in Besu logs at startup,,NicolasMassart,Medium,Done,Done,22/Mar/20 11:26 AM,,,
Task,BESU-158,43732,16/Dec/19 7:51 PM,Doc multi-tenancy ,,madelinemurray,Medium,Done,Done,22/Mar/20 11:14 AM,,,besu-docs
New Feature,BESU-91,43253,11/Nov/19 1:02 PM,Doc plugin API and how to build a API for Besu,,madelinemurray,Medium,Done,Done,22/Mar/20 11:14 AM,,,besu-docs
Task,BESU-167,43764,18/Dec/19 5:49 PM,Doc dynamic reload mechanism for Besu plugins ,,madelinemurray,Medium,Done,Done,22/Mar/20 11:14 AM,,,besu-docs
Task,BESU-165,43762,18/Dec/19 5:45 PM,Doc priv_call,,madelinemurray,Medium,Done,Done,22/Mar/20 11:13 AM,,,besu-docs
Bug,BESU-201,44336,13/Feb/20 11:42 AM,Flaky test mustReturn0xUsingInvalidContractAddress - org.hyperledger.besu.tests.web3j.privacy.PrivCallAcceptanceTest,,madelinemurray,Medium,Done,Done,22/Mar/20 11:13 AM,,,
Task,BESU-71,43179,07/Nov/19 12:09 AM,Make pruning hidden options conform to --X style,ratanraisur,ratanraisur,Medium,Done,Done,22/Mar/20 4:46 AM,,,
Task,BESU-130,43432,23/Nov/19 2:41 AM,Add conceptual information about full sync and fast sync,,sgregg,Medium,Done,Done,21/Mar/20 5:05 AM,,,besu-docs
Improvement,BESU-45,43153,06/Nov/19 10:42 PM,Update colors and formatting of CLI help screen,,timbeiko,Medium,Done,Done,21/Mar/20 5:05 AM,,,
Improvement,BESU-51,43159,06/Nov/19 10:47 PM,Support customer private key file with public-key export subcommand,,timbeiko,Medium,Done,Done,21/Mar/20 5:05 AM,,,
